runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,2,2,2,,,,,,,2500.160399699991,2500.160399699991,None,space,183.84718969999813,2500.160399699991,None,,,,,,2747.4955710000067,2749.495606599987,2747.4955710000067,2749.495606599987,2749.495606599987,2747.4955710000067,,,,,,,,,,,0.014575809997040778,None,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,3,3,3,,,,,,,,,,,,,,,,,,,2760.495957200008,2762.495964700007,2760.495957200008,2762.495964700007,2762.4790289000084,2760.495957200008,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,5,5,5,,,,,,,,,,,,,,,,,,,2786.4795046999934,2788.4795128999976,2786.4795046999934,2788.4795128999976,2788.462604900007,2786.4795046999934,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,6,6,6,,,,,,,,,,,,,,,,,,,2799.462930000009,2801.462971400004,2799.462930000009,2801.462971400004,2801.446020000003,2799.462930000009,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,11,11,11,,,,,,,,,,,,,,,,,,,2864.446831999987,2866.4468374999997,2864.446831999987,2866.4468374999997,2866.429907199985,2864.446831999987,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,13,13,13,,,,,,,,,,,,,,,,,,,2890.4303715999995,2892.4303870000003,2890.4303715999995,2892.4303870000003,2892.4134704000026,2890.4303715999995,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,15,15,15,,,,,,,,,,,,,,,,,,,2916.413918300008,2918.413943099993,2916.413918300008,2918.413943099993,2918.3970206000085,2916.413918300008,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,16,16,16,,,,,,,,,,,,,,,,,,,2929.397362299991,2931.3973848999885,2929.397362299991,2931.3973848999885,2931.380435400002,2929.397362299991,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,19,19,19,,,,,,,,,,,,,,,,,,,2968.381025199982,2970.3810401000082,2968.381025199982,2970.3810401000082,2970.3641043999814,2968.381025199982,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,26,26,26,,,,,,,,,,,,,,,,,,,3059.365116700006,3061.365132100007,3059.365116700006,3061.365132100007,3061.348211100005,3059.365116700006,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
