	onset	duration	rt	response	correct	bodySite	temperature	condition
33	709.6885136000055	1.9977825999667402			1.0	Abdomen	46.0	2back
34	711.7084906999953	2.0048392999742646			0.0	Abdomen	46.0	2back
35	713.7288862999994	1.9995766000065487			0.0	Abdomen	46.0	2back
36	715.7450976999826	2.0080602999951225			0.0	Abdomen	46.0	2back
37	717.763627999986	2.003981699992437			0.0	Abdomen	46.0	2back
38	719.7819557999901	2.009515100013232			0.0	Abdomen	46.0	2back
39	intensity:	50.0						
40	738.8750568999967	1.9220462999655865			1.0	Abdomen	46.0	2back
41	740.8183172999998	2.004707200016128			1.0	Abdomen	46.0	2back
42	742.8418849000009	1.9947643999767024			0.0	Abdomen	46.0	2back
43	744.8536426000064	2.004712100024335			0.0	Abdomen	46.0	2back
44	746.872074599989	2.0083137000037823			0.0	Abdomen	46.0	2back
45	748.8948357999907	2.0049132999847643			0.0	Abdomen	46.0	2back
46	750.9088002000062	2.0056697999534663			0.0	Abdomen	46.0	2back
47	intensity:	100.0						
48	770.0188369999814	1.9279020999965724			1.0	Abdomen	46.0	2back
49	771.9611784000008	2.0045452999765985			1.0	Abdomen	46.0	2back
50	773.9787962999835	2.008084000030067			0.0	Abdomen	46.0	2back
51	775.9968387999979	2.0102414999855682			0.0	Abdomen	46.0	2back
52	778.0153188999975	2.007166800001869			0.0	Abdomen	46.0	2back
53	780.0341113999893	1.9895237000018824			0.0	Abdomen	46.0	2back
54	782.0374849000073	1.969113600003766			0.0	Abdomen	46.0	2back
55	intensity:	50.0						
56	801.0974559999886	1.9692132999771275			1.0	Abdomen	46.0	2back
57	803.0868460999918	2.003037899994524			1.0	Abdomen	46.0	2back
58	805.1053784999822	2.009147499979008			0.0	Abdomen	46.0	2back
59	807.1236011000001	1.998203100025421			0.0	Abdomen	46.0	2back
60	809.1254137000069	2.0081243999884464			0.0	Abdomen	46.0	2back
61	811.1442628999939	1.9780744000163395			0.0	Abdomen	46.0	2back
62	813.1869762999995	1.9916257000004407			0.0	Abdomen	46.0	2back
63	intensity:	50.0						
64	832.2492281000013	1.9734027999802493			1.0	Abdomen	46.0	2back
65	834.2470972999872	2.005767900001956			1.0	Abdomen	46.0	2back
66	836.2654708999908	2.0044457000039984			0.0	Abdomen	46.0	2back
67	838.283818099997	1.9967389999656007			0.0	Abdomen	46.0	2back
68	840.2856028999959	2.007149799988838			0.0	Abdomen	46.0	2back
69	842.3039165999799	2.011157799977809			0.0	Abdomen	46.0	2back
70	844.3223508000083	2.006483200006187			0.0	Abdomen	46.0	2back
71	intensity:	50.0						
72	863.4014730000054	1.9283564000215847			1.0	Abdomen	46.0	2back
73	865.378389599995	1.9942629999713972			1.0	Abdomen	46.0	2back
74	867.3922877000005	2.011822500033304			0.0	Abdomen	46.0	2back
75	869.4104959999968	2.0080176000192296			0.0	Abdomen	46.0	2back
76	871.435195500002	1.9872163999825716			0.0	Abdomen	46.0	2back
77	873.4707466999826	1.9917377999809105			0.0	Abdomen	46.0	2back
78	875.4518068000034	2.007359399984125			0.0	Abdomen	46.0	2back
79	intensity:	50.0						
80	889.5480079999834	1.9198242999846116			1.0	Abdomen	46.0	2back
81	891.496040500002	2.0003633000305854			1.0	Abdomen	46.0	2back
82	893.5145302999881	1.9966959999874234			0.0	Abdomen	46.0	2back
83	895.5165314000042	1.9980889999715146			0.0	Abdomen	46.0	2back
84	897.5317558999814	1.993552699976135			0.0	Abdomen	46.0	2back
85	899.5365202999965	2.0089672000030987			0.0	Abdomen	46.0	2back
86	901.5548233999871	2.0090247000043746			0.0	Abdomen	46.0	2back
87	intensity:	50.0						
88	926.6061435999873	1.9673488999542315			1.0	Abdomen	46.0	2back
89	928.5953489999811	1.9936581999936607			1.0	Abdomen	46.0	2back
90	930.6041290999856	2.003119000000879			0.0	Abdomen	46.0	2back
91	932.6163659000013	2.0002897000231314			0.0	Abdomen	46.0	2back
92	934.6334858000046	1.9966494000109378			0.0	Abdomen	46.0	2back
